2 attraction: Object { x: -44197.06691102874, y: -75869.33843247026, z: 41773.36220518306 } repulsion: Object { x: -1.1187755651003187e-15, y: -1.9205066741067715e-15, z: 1.0574234937654182e-15 }index.html:82:11
1 attraction: Object { x: 50999.86089606585, y: 87547.11515408258, z: -48203.100579366524 } repulsion: Object { x: 7.305438072365275e-15, y: 1.2540622992595617e-14, z: -6.9048181699201716e-15 }index.html:82:11
2 attraction: Object { x: -50999.86089606585, y: -87547.11515408258, z: 48203.100579366524 } repulsion: Object { x: -7.305438072365275e-15, y: -1.2540622992595617e-14, z: 6.9048181699201716e-15 }index.html:82:11
1 attraction: Object { x: 37147.93458963884, y: 63768.693681011864, z: -35110.794340974775 } repulsion: Object { x: -1.7619795041032008e-15, y: -3.0246400643958554e-15, z: 1.6653550375001258e-15 }index.html:82:11
2 attraction: Object { x: -37147.93458963884, y: -63768.693681011864, z: 35110.794340974775 } repulsion: Object { x: 1.7619795041032008e-15, y: 3.0246400643958554e-15, z: -1.6653550375001258e-15 }index.html:82:11
1 attraction: Object { x: -3730.220642233937, y: -6403.351898965309, z: 3525.660612433203 } repulsion: Object { x: -2.0231999631639374e-16, y: -3.4730549660874144e-16, z: 1.9122505356496965e-16 }index.html:82:11
2 attraction: Object { x: 3730.220642233937, y: 6403.351898965309, z: -3525.660612433203 } repulsion: Object { x: 2.0231999631639374e-16, y: 3.4730549660874144e-16, z: -1.9122505356496965e-16 }index.html:82:11
1 attraction: Object { x: -68823.08864195927, y: -118142.73138658759, z: 65048.927697113235 } repulsion: Object { x: -7.979112848750413e-17, y: -1.3697063072790826e-16, z: 7.541549573365632e-17 }index.html:82:11
2 attraction: Object { x: 68823.08864195927, y: 118142.73138658759, z: -65048.927697113235 } repulsion: Object { x: 7.979112848750413e-17, y: 1.3697063072790826e-16, z: -7.541549573365632e-17 }index.html:82:11
1 attraction: Object { x: -68823.08864195927, y: -118142.73138658759, z: 65048.927697113235 } repulsion: Object { x: -7.979112848750413e-17, y: -1.3697063072790826e-16, z: 7.541549573365632e-17 }index.html:82:11
2 attraction: Object { x: 68823.08864195927, y: 118142.73138658759, z: -65048.927697113235 } repulsion: Object { x: 7.979112848750413e-17, y: 1.3697063072790826e-16, z: -7.541549573365632e-17 }index.html:82:11
1 attraction: Object { x: -141663.42878860072, y: -243181.53609384678, z: 133894.80650214106 } repulsion: Object { x: -6.372025388352906e-17, y: -1.0938312980416435e-16, z: 6.022592518732654e-17 }index.html:82:11
2 attraction: Object { x: 141663.42878860072, y: 243181.53609384678, z: -133894.80650214106 } repulsion: Object { x: 6.372025388352906e-17, y: 1.0938312980416435e-16, z: -6.022592518732654e-17 }index.html:82:11
1 attraction: Object { x: -191497.0840476529, y: -328726.72541120904, z: 180995.65451396126 } repulsion: Object { x: -1.361369184557878e-16, y: -2.336946467571678e-16, z: 1.2867136218788334e-16 }index.html:82:11
2 attraction: Object { x: 191497.0840476529, y: 328726.72541120904, z: -180995.65451396126 } repulsion: Object { x: 1.361369184557878e-16, y: 2.336946467571678e-16, z: -1.2867136218788334e-16 }index.html:82:11
1 attraction: Object { x: -191497.0840476529, y: -328726.72541120904, z: 180995.65451396126 } repulsion: Object { x: -1.361369184557878e-16, y: -2.336946467571678e-16, z: 1.2867136218788334e-16 }index.html:82:11
2 attraction: Object { x: 191497.0840476529, y: 328726.72541120904, z: -180995.65451396126 } repulsion: Object { x: 1.361369184557878e-16, y: 2.336946467571678e-16, z: -1.2867136218788334e-16 }index.html:82:11
1 attraction: Object { x: -179249.89039489362, y: -307703.01173446886, z: 169420.0796577468 } repulsion: Object { x: 2.2539692651757175e-15, y: 3.869196961423937e-15, z: -2.130364775180148e-15 }index.html:82:11
2 attraction: Object { x: 179249.89039489362, y: 307703.01173446886, z: -169420.0796577468 } repulsion: Object { x: -2.2539692651757175e-15, y: -3.869196961423937e-15, z: 2.130364775180148e-15 }index.html:82:11
1 attraction: Object { x: -71372.53824010308, y: -122519.15425572218, z: 67458.56908126906 } repulsion: Object { x: 2.9050986806297247e-17, y: 4.9869353417527296e-17, z: -2.745787173434859e-17 }index.html:82:11
2 attraction: Object { x: 71372.53824010308, y: 122519.15425572218, z: -67458.56908126906 } repulsion: Object { x: -2.9050986806297247e-17, y: -4.9869353417527296e-17, z: 2.745787173434859e-17 }index.html:82:11
1 attraction: Object { x: -71372.53824010308, y: -122519.15425572218, z: 67458.56908126906 } repulsion: Object { x: 2.9050986806297247e-17, y: 4.9869353417527296e-17, z: -2.745787173434859e-17 }index.html:82:11
2 attraction: Object { x: 71372.53824010308, y: 122519.15425572218, z: -67458.56908126906 } repulsion: Object { x: -2.9050986806297247e-17, y: -4.9869353417527296e-17, z: 2.745787173434859e-17 }index.html:82:11
1 attraction: Object { x: 140201.3951735582, y: 240671.78757676523, z: -132512.9487449223 } repulsion: Object { x: 7.552611456599672e-18, y: 1.2964924477979911e-17, z: -7.138436914980558e-18 }index.html:82:11
2 attraction: Object { x: -140201.3951735582, y: -240671.78757676523, z: 132512.9487449223 } repulsion: Object { x: -7.552611456599672e-18, y: -1.2964924477979911e-17, z: 7.138436914980558e-18 }index.html:82:11
1 attraction: Object { x: 417868.6149611754, y: 717319.4418674398, z: -394953.2904998165 } repulsion: Object { x: 4.3850267215329795e-18, y: 7.527401694803268e-18, z: -4.144558051482242e-18 }index.html:82:11
2 attraction: Object { x: -417868.6149611754, y: -717319.4418674398, z: 394953.2904998165 } repulsion: Object { x: -4.3850267215329795e-18, y: -7.527401694803268e-18, z: 4.144558051482242e-18 }index.html:82:11
1 attraction: Object { x: 417868.6149611754, y: 717319.4418674398, z: -394953.2904998165 } repulsion: Object { x: 4.3850267215329795e-18, y: 7.527401694803268e-18, z: -4.144558051482242e-18 }index.html:82:11
2 attraction: Object { x: -417868.6149611754, y: -717319.4418674398, z: 394953.2904998165 } repulsion: Object { x: -4.3850267215329795e-18, y: -7.527401694803268e-18, z: 4.144558051482242e-18 }index.html:82:11
1 attraction: Object { x: 667685.7400046265, y: 1146159.2118074393, z: -631070.7973584788 } repulsion: Object { x: 5.417227246123496e-18, y: 9.29929237451689e-18, z: -5.120154157642398e-18 }index.html:82:11
2 attraction: Object { x: -667685.7400046265, y: -1146159.2118074393, z: 631070.7973584788 } repulsion: Object { x: -5.417227246123496e-18, y: -9.29929237451689e-18, z: 5.120154157642398e-18 }index.html:82:11
